Zip Code,City,State,Representative
99682,Kenai Peninsula,Alaska,"Don Young"
99683,Matanuska Susitna,Alaska,"Don Young"
99684,Nome,Alaska,"Don Young"
99685,Aleutians West,Alaska,"Don Young"
99686,Valdez Cordova,Alaska,"Don Young"
99687,Matanuska Susitna,Alaska,"Don Young"
99688,Matanuska Susitna,Alaska,"Don Young"
99689,Yakutat,Alaska,"Don Young"
99690,Bethel,Alaska,"Don Young"
99691,Yukon Koyukuk,Alaska,"Don Young"
99692,Aleutians West,Alaska,"Don Young"
99693,Valdez Cordova,Alaska,"Don Young"
99694,Matanuska Susitna,Alaska,"Don Young"
99695,Anchorage,Alaska,"Don Young"
99697,Kodiak Island,Alaska,"Don Young"
99701,Fairbanks North Star,Alaska,"Don Young"
99702,Fairbanks North Star,Alaska,"Don Young"
99703,Fairbanks North Star,Alaska,"Don Young"
99704,Denali,Alaska,"Don Young"
99705,Fairbanks North Star,Alaska,"Don Young"
99706,Fairbanks North Star,Alaska,"Don Young"
99707,Fairbanks North Star,Alaska,"Don Young"
99708,Fairbanks North Star,Alaska,"Don Young"
99709,Fairbanks North Star,Alaska,"Don Young"
99710,Fairbanks North Star,Alaska,"Don Young"
99711,Fairbanks North Star,Alaska,"Don Young"
99712,Fairbanks North Star,Alaska,"Don Young"
99714,Fairbanks North Star,Alaska,"Don Young"
99716,Fairbanks North Star,Alaska,"Don Young"
99720,Yukon Koyukuk,Alaska,"Don Young"
99721,North Slope,Alaska,"Don Young"
99722,Yukon Koyukuk,Alaska,"Don Young"
99723,North Slope,Alaska,"Don Young"
99724,Yukon Koyukuk,Alaska,"Don Young"
99725,Fairbanks North Star,Alaska,"Don Young"
99726,Yukon Koyukuk,Alaska,"Don Young"
99727,Northwest Arctic,Alaska,"Don Young"
99729,Denali,Alaska,"Don Young"
99730,Yukon Koyukuk,Alaska,"Don Young"
99731,Southeast Fairbanks,Alaska,"Don Young"
99732,Southeast Fairbanks,Alaska,"Don Young"
99733,Yukon Koyukuk,Alaska,"Don Young"
99734,North Slope,Alaska,"Don Young"
99736,Northwest Arctic,Alaska,"Don Young"
99737,Southeast Fairbanks,Alaska,"Don Young"
99738,Southeast Fairbanks,Alaska,"Don Young"
99739,Nome,Alaska,"Don Young"
99740,Yukon Koyukuk,Alaska,"Don Young"
99741,Yukon Koyukuk,Alaska,"Don Young"
99742,Nome,Alaska,"Don Young"
99743,Denali,Alaska,"Don Young"
99744,Denali,Alaska,"Don Young"
99745,Yukon Koyukuk,Alaska,"Don Young"
99746,Yukon Koyukuk,Alaska,"Don Young"
99747,North Slope,Alaska,"Don Young"
99748,Yukon Koyukuk,Alaska,"Don Young"
99749,Northwest Arctic,Alaska,"Don Young"
99750,Northwest Arctic,Alaska,"Don Young"
99751,Northwest Arctic,Alaska,"Don Young"
99752,Northwest Arctic,Alaska,"Don Young"
99753,Nome,Alaska,"Don Young"
99754,Yukon Koyukuk,Alaska,"Don Young"
99755,Denali,Alaska,"Don Young"
99756,Yukon Koyukuk,Alaska,"Don Young"
99757,Yukon Koyukuk,Alaska,"Don Young"
99758,Yukon Koyukuk,Alaska,"Don Young"
99759,North Slope,Alaska,"Don Young"
99760,Yukon Koyukuk,Alaska,"Don Young"
99761,Northwest Arctic,Alaska,"Don Young"
99762,Nome,Alaska,"Don Young"
99763,Northwest Arctic,Alaska,"Don Young"
99764,Southeast Fairbanks,Alaska,"Don Young"
99765,Yukon Koyukuk,Alaska,"Don Young"
99766,North Slope,Alaska,"Don Young"
99767,Yukon Koyukuk,Alaska,"Don Young"
99768,Yukon Koyukuk,Alaska,"Don Young"
99769,Nome,Alaska,"Don Young"
99770,Northwest Arctic,Alaska,"Don Young"
99771,Nome,Alaska,"Don Young"
99772,Nome,Alaska,"Don Young"
99773,Northwest Arctic,Alaska,"Don Young"
99774,Yukon Koyukuk,Alaska,"Don Young"
99775,Fairbanks North Star,Alaska,"Don Young"
99776,Southeast Fairbanks,Alaska,"Don Young"
99777,Yukon Koyukuk,Alaska,"Don Young"
99778,Nome,Alaska,"Don Young"
99780,Southeast Fairbanks,Alaska,"Don Young"
99781,Yukon Koyukuk,Alaska,"Don Young"
99782,North Slope,Alaska,"Don Young"
99783,Nome,Alaska,"Don Young"
99784,Nome,Alaska,"Don Young"
99785,Nome,Alaska,"Don Young"
99786,Northwest Arctic,Alaska,"Don Young"
99788,Yukon Koyukuk,Alaska,"Don Young"
99789,North Slope,Alaska,"Don Young"
